Source,Destination,Weight
C5203670,C0221170,25.0
C5203670,C0005841,11.0
C5203670,C1879316,6.0
C5203670,C0235272,5.0
C5203670,C0035854,5.0
C5203670,C0848112,11.0
C5203670,C0262324,5.0
C5203670,C0002903,27.0
C5203670,C0002912,25.0
C5203670,C0425449,16.0
C5203670,C1280903,7.0
C5203670,C0018494,126.0
C5203670,C0020498,121.0
C5203670,C0204558,76.0
C5203670,C0241042,17.0
C5203670,C3280240,544.0
C5203670,C0392171,27.0
C5203670,C1248424,25.0
C5203670,C0342895,111.0
C5203670,C0024820,1.0
C5203670,C0233844,1.0
C5203670,C0419095,1.0
C5203670,C0027769,97.0
C5203670,C0239313,2.0
C5203670,C0227716,176.0
C5203670,C4083049,107.0
C5203670,C0019247,4.0
C5203670,C3714506,63.0
C5203670,C3542022,109.0
C5203670,C0019163,4.0
C5203670,C0034494,3.0
C5203670,C0039614,10.0
C5203670,C0199848,179.0
C5203670,C0227665,391.0
C5203670,C0022646,412.0
C5203670,C0441516,56.0
C5203670,C0040028,44.0
C5203670,C0026837,21.0
C5203670,C0741847,64.0
C5203670,C0001486,15.0
C5203670,C0152060,172.0
C5203670,C1135929,13.0
C5203670,C0600080,75.0
C5203670,C0841617,22.0
C5203670,C3495919,3.0
C5203670,C3814046,6.0
C5203670,C0342942,3.0
C5203670,C0003842,22.0
C5203670,C0030274,22.0
C5203670,C0232602,1.0
C5203670,C0455270,15.0
C5203670,C2987482,27.0
C5203670,C1283892,3.0
C5203670,C1278908,3.0
C5203670,C0227958,36.0
C5203670,C0925983,12.0
C5203670,C0042201,3.0
C5203670,C0199810,3.0
C5203670,C1504473,12.0
C5203670,C1880091,62.0
C5203670,C4724148,62.0
C5203670,C0037199,36.0
C5203670,C0184958,195.0
C5203670,C0027424,30.0
C5203670,C0150189,9.0
C5203670,C0441513,65.0
C5203670,C0476273,49.0
C5203670,C1883583,91.0
C5203670,C0004836,50.0
C5203670,C0678431,18.0
C5203670,C0004895,120.0
C5203670,C0684199,10.0
C5203670,C0751363,15.0
C5203670,C3887938,38.0
C5203670,C0014544,15.0
C5203670,C0221055,70.0
C5203670,C0018834,78.0
C5203670,C0038351,156.0
C5203670,C3714551,115.0
C5203670,C0012164,59.0
C5203670,C0019340,26.0
